ingredient,form,prior_bio_score,current_bio_score,delta,prior_tier,current_tier,products_using_this_form,review_bucket,proposed_axis,axis_status,candidate_pmids,candidate_claim,prior_evidence_reference_status,legacy_claim_under_review,current_recalibration_reason,review_question,clinician_decision,clinician_approved_score,clinician_notes,review_status
probiotics,enteric coated,14,11,-3,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,90%+ survival,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
probiotics,spore-based,14,11,-3,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent survival,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
slippery_elm,standardized extract (mucilage),14,11,-3,Excellent,Good,0,local_delivery_recheck,delivery_to_site,architectural_axis_candidate_not_adjudicated,,,NONE,category_error (mucosal demulcent; not systemically absorbed),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does delivery-to-site evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
streptococcus_salivarius,streptococcus salivarius m18,14,11,-3,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
vitamin_b1_thiamine,thiamine tetrahydrofurfuryl disulfide (TTFD),14,11,-3,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,lipophilic; bypasses thiamine transporter; orally < benfotiamine (Greb 1998),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_c,zinc ascorbate,14,11,-3,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,mineral ascorbate; ascorbate ion F equivalent to ascorbic acid; co-delivers zinc,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_d,calcidiol (25-hydroxy D3),14,11,-3,Excellent,Good,0,priority_evidence_recheck,systemic_bioavailability,candidate_evidence_verified_not_adjudicated,28187226|29713796,Human comparative evidence evaluates calcifediol versus cholecalciferol for serum 25(OH)D response; review whether the exact-form evidence supports an Excellent tier.,inline PMID/DOI,pre-hydroxylated; raises total 25(OH)D ~1.85x more than equivalent D3 (Shieh 2017),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does verified exact-form human evidence support restoring an Excellent tier?,,,,not_clinically_approved
bacillus_coagulans,bacillus coagulans snz 1969,13,11,-2,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent survival,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bacillus_coagulans,bacillus coagulans unique is-2,13,11,-2,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent survival,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bifidobacterium_bifidum,bifidobacterium bifidum bb-06,13,11,-2,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,high colonization (~80%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bifidobacterium_bifidum,bifidobacterium bifidum r0071,13,11,-2,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,high colonization (~85%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bifidobacterium_lactis,bifidobacterium lactis bi-07,13,11,-2,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bifidobacterium_lactis,bifidobacterium lactis bl-04,13,11,-2,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,high colonization (~85%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
calamari_oil,calamari oil (unspecified),13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,form unspecified; default to general marine TG/PL class,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
calamari_oil,calamari oil triglyceride,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,calamari TG: DHA-rich squid TG; class-equivalent to fish-TG,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
chinese_skullcap,chinese skullcap (unspecified),13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,good (baicalein/baicalin class baseline),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
cla,tonalin,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,excellent (~85%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
cod_liver_oil,virgin/cold-processed,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,high; TG-class CLO with low oxidation; preserves natural vitamins A/D,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
creatine_monohydrate,creatine hydrochloride,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,"higher solubility, same F; no human PK advantage shown (Jäger 2007)","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
creatine_monohydrate,creatine magnesium chelate,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,chelate dissociates; F equivalent to monohydrate,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
creatine_monohydrate,creatine nitrate,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,salt dissociates to creatine ion; F equivalent to monohydrate,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
dha,DHA krill phospholipid,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,high; krill PL with marginal AUC advantage vs DHA-TG at equal dose,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
epa,EPA krill phospholipid,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,high; krill PL with marginal AUC advantage vs EPA-TG at equal dose,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
fish_oil,emulsified,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,very_good (emulsified premium; bypasses lipase needs),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
fish_oil,fish oil phospholipid,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,high; phospholipid-bound omega-3 with marginal AUC advantage vs TG (Schuchardt 2011),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
hemp_seed_oil,cold-pressed organic,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,TG hydrolysis by lipase; LA/GLA/ALA F ~80-95% with fat,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
herring_roe_extract,herring roe extract,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,Excellent phospholipid-bound omega-3 absorption. DHA/EPA in phospholipid form shows superior bioavailability compared to triglyceride fish oil. 40-60% higher plasma incorporation.,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
herring_roe_extract,herring roe extract (unspecified),13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
lactobacillus_acidophilus,lactobacillus acidophilus dds-1,13,11,-2,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,inline PMID/DOI,good colonization (~80%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
lactobacillus_casei,lactobacillus casei lc-11,13,11,-2,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,high colonization (~80%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
lactobacillus_casei,lactobacillus casei shirota,13,11,-2,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,high colonization (~85%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
lactobacillus_paracasei,lactobacillus paracasei l.casei 431,13,11,-2,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
lactobacillus_paracasei,lactobacillus paracasei lpc-37,13,11,-2,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,high colonization (~85%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
lactobacillus_plantarum,lactobacillus plantarum dr7,13,11,-2,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,high colonization (~85%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
maca,gelatinized maca,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,"good (~60-75%; gelatinization removes starch, concentrating bioactives and improving digestibility)","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
manuka_honey,umf 10+ / mgo 263+,13,11,-2,Excellent,Good,0,local_delivery_recheck,delivery_to_site,architectural_axis_candidate_not_adjudicated,,,inline PMID/DOI,manuka MGO acts locally (oral/GI/wound); grade ≠ F,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does delivery-to-site evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
organ_extracts,grass-fed desiccated,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,"composite food; per-nutrient F (heme Fe ~25%, B12 ~50%); score = nutrient density","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
prebiotics,human milk oligosaccharides (HMO),13,11,-2,Excellent,Good,0,local_delivery_recheck,delivery_to_site,architectural_axis_candidate_not_adjudicated,,,NONE,excellent fermentation,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does delivery-to-site evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
probiotics,liposomal probiotics,13,11,-2,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,enhanced,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
quercetin,isoquercetin (EMIQ),13,11,-2,Excellent,Good,0,priority_evidence_recheck,systemic_bioavailability,candidate_evidence_verified_not_adjudicated,20638359,A human crossover study compares EMIQ with isoquercitrin and rutin; review whether exact-form exposure supports an Excellent tier.,audit-trail pointer only,EMIQ enzymatically-modified isoquercitrin; SGLT1-mediated; genuinely better F than rutin,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does verified exact-form human evidence support restoring an Excellent tier?,,,,not_clinically_approved
sea_buckthorn,sea buckthorn seed oil,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,ALA/LA TG class; ~70-90% F with dietary fat,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
sulforaphane,stabilized sulforaphane,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,good-to-excellent (~60-80% urinary excretion of metabolites),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
taurine,magnesium taurate (as taurine source),13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
tmg_betaine,liposomal tmg,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,excellent (TMG already has near-complete oral bioavailability; liposomal adds no demonstrated benefit),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_b9_folate,metafolin,13,11,-2,Excellent,Good,0,priority_evidence_recheck,systemic_bioavailability,candidate_evidence_verified_not_adjudicated,33255787,Human crossover evidence compares oral 5-MTHF salts with folic acid; review whether the exact Metafolin form and evidence support an Excellent tier.,inline PMID/DOI,calcium salt of L-5-MTHF; AUC ~2× folic acid in humans,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does verified exact-form human evidence support restoring an Excellent tier?,,,,not_clinically_approved
vitamin_b9_folate,quatrefolic,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,glucosamine salt of (6S)-5-MTHF; superior PK shown in rats only,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_c,magnesium ascorbate,13,11,-2,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,78%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
algae_oil,algae oil (unspecified),12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,very_good (algal omega-3 class baseline),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
astaxanthin,synthetic astaxanthin,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,variable; equivalent F to natural form when fat-matrixed (no human head-to-head PK),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
bacillus_clausii,bacillus clausii (unspecified),12,11,-1,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,audit-trail pointer only,good spore survivability; strain not specified,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bacillus_indicus,bacillus indicus (unspecified),12,11,-1,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bifidobacterium_lactis,bifidobacterium animalis subsp. lactis,12,11,-1,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bifidobacterium_longum,bifidobacterium longum infantis m-63,12,11,-1,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,inline PMID/DOI,live organism; infant gut colonization demonstrated,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bifidobacterium_longum,bifidobacterium longum subsp. infantis,12,11,-1,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bioflavonoids,hesperidin-rich,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,hesperidin urinary recovery 4.1-7.9% in humans (Manach 2003),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
black_cohosh,black cohosh standardized extract,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,low (triterpene standardized; PD-not-PK Crominex pattern),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
black_seed_oil,cold-pressed black seed oil,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,cold-pressed; lipid matrix may aid slightly; class-poor TQ F,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
ceramides,phytoceramides (plant),12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,low (<5%); intact ceramide hydrolyzed to sphingoid bases pre-absorption,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
citrus_bergamot,bergamot (unspecified),12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,low (citrus flavonoid class-poor),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
citrus_bergamot,bergamot standardized extract,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,audit-trail pointer only,standardized bergamot flavonoids; class-poor F per Batch 19,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
creatine_monohydrate,dicreatine malate,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,no human PK; theoretical F equivalent via salt dissociation,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
digestive_enzymes,enteric-coated enzymes,12,11,-1,Excellent,Good,0,local_delivery_recheck,delivery_to_site,architectural_axis_candidate_not_adjudicated,,,NONE,category_error (local action; activity-units metric),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does delivery-to-site evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
ergothioneine,l-ergothioneine,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,high (active OCTN1-mediated uptake; low urinary excretion; no formal bioavailability measurement),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
fenugreek,fenugreek standardized extract,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,concentrated saponins still poor F (~1-5%); deglycosylation in gut needed,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
fenugreek,testosurge extract,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,branded saponin extract; no PK data; class F ~1-5%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
garlic,aged garlic extract,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,very good (~70–80%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
hemp_seed_oil,cold-pressed,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,same TG profile as organic; F equivalent ~80-95%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
lactobacillus_acidophilus,lactobacillus acidophilus (unspecified),12,11,-1,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,low (live organism class; B18 framework),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
lactobacillus_acidophilus,lactobacillus acidophilus la-02,12,11,-1,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
lactobacillus_helveticus,lactobacillus helveticus (unspecified),12,11,-1,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
lactobacillus_rhamnosus,lactobacillus rhamnosus lr-04,12,11,-1,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
magnesium,magnesium citrate-malate,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,"mixed citrate-malate salt; likely good, evidence thinner than citrate alone","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
molybdenum,molybdenum picolinate,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,"no dedicated PK; class F 88-93%, picolinate offers no Mo advantage","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
mullein,standardized mullein (verbascoside),12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,low (verbascoside P-gp/BCRP/MRP2 efflux substrate),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
nad_precursors,nicotinamide riboside (NR),12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,moderate-good (effectively doubles NAD+; most converted to NA by gut microbiota),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
nmn,beta-nicotinamide mononucleotide,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,Variable,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
nmn,nicotinamide mononucleotide (unspecified),12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
